Station,Start_Date,End_Date,Start_Date_Start_Time,End_Date_End_Time,Survey_Type,Gross_ID,Common_Name,Tadpole_phase,Family,Genus,Species,Segment,Seg_dist_m,Parent_Trail_LongName,Height_of_Individual,Habitat_Type,Diurnal_Nocturnal
YRS,7/6/2025,7/6/2025,7/6/2025 20:13,7/6/2025 22:38,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,TORR-01,900,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,G,Terrafirme,Diurnal
YRS,7/7/2025,7/7/2025,7/7/2025 20:26,7/7/2025 23:02,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,TORR-01,900,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,U,Terrafirme,Diurnal
YRS,7/7/2025,7/7/2025,7/7/2025 20:26,7/7/2025 23:02,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,FPIN-01,1053,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,U,Terrafirme,Diurnal
YRS,7/8/2025,7/8/2025,7/8/2025 14:32,7/8/2025 16:40,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,CEIB-02,463,Coca-Ceiba-Peru-Renacuajo-Peru,G,Terrafirme,Diurnal
YRS,7/8/2025,7/8/2025,7/8/2025 14:32,7/8/2025 16:40,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,RENA-01,272,Coca-Ceiba-Peru-Renacuajo-Peru,G,Terrafirme,Diurnal
YRS,7/8/2025,7/8/2025,7/8/2025 20:18,7/8/2025 22:59,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,PANT-01,103,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,U,Varzea,Diurnal
YRS,7/8/2025,7/8/2025,7/8/2025 20:18,7/8/2025 22:59,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,BOTA-02,69,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,U,Terrafirme,Diurnal
YRS,7/12/2025,7/12/2025,7/12/2025 14:48,7/12/2025 16:20,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,FPPE-01,171,Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,G,Terrafirme,Diurnal
YRS,7/13/2025,7/13/2025,7/13/2025 20:51,7/13/2025 22:41,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,TINA-02,509,Botanico-Tinamou-Napo-Timatai-Bariso,G,Terrafirme,Diurnal
YRS,7/15/2025,7/15/2025,7/15/2025 14:24,7/15/2025 16:16,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,NAPO-04,220,Napo-Tinamou-Botanico,G,Terrafirme,Diurnal
YRS,7/15/2025,7/15/2025,7/15/2025 14:24,7/15/2025 16:16,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,NAPO-04,220,Napo-Tinamou-Botanico,G,Terrafirme,Diurnal
YRS,7/15/2025,7/15/2025,7/15/2025 14:24,7/15/2025 16:16,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,NAPO-02,419,Napo-Tinamou-Botanico,G,Terrafirme,Diurnal
YRS,7/15/2025,7/15/2025,7/15/2025 14:24,7/15/2025 16:16,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,NAPO-02,419,Napo-Tinamou-Botanico,G,Terrafirme,Diurnal
YRS,7/15/2025,7/15/2025,7/15/2025 14:24,7/15/2025 16:16,Afternoon,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,BOTA-03,250,Napo-Tinamou-Botanico,G,Terrafirme,Diurnal
YRS,7/6/2024,7/6/2024,7/6/2024 20:29,7/6/2024 23:28,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,FPPE-02,2520,Forest Plot Perimeter,G,Varzea,Diurnal
YRS,7/6/2024,7/6/2024,7/6/2024 20:29,7/6/2024 23:28,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,FPPE-02,2520,Forest Plot Perimeter,U,Terrafirme,Diurnal
TBS,7/20/2024,7/20/2024,7/20/2024 20:06,7/20/2024 23:51,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,PUPL-11,324,Puma-Puma Plot,G,Terrafirme,Diurnal
YRS,7/26/2024,7/26/2024,7/26/2024 20:02,7/26/2024 22:54,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,GARZ-01,223,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,U,Terrafirme,Diurnal
YRS,7/28/2024,7/28/2024,7/28/2024 20:27,7/28/2024 23:31,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,PERU-05,301,Peru-Ceiba,U,Varzea,Diurnal
YRS,7/29/2024,7/29/2024,7/29/2024 20:20,7/29/2024 22:48,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,KINK-01,321,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,Varzea,Diurnal
YRS,7/31/2024,7/31/2024,7/31/2024 20:38,7/31/2024 23:53,Night,Frog,Ecuador Poison Frog,Yes,Dendrobatidae,Ameerega,bilinguis,TORR-01,900,Torre-Forest Plot North Edge-Forest Plot Interior,U,Terrafirme,Diurnal
YRS,6/11/2025,6/11/2025,6/11/2025 15:06,6/11/2025 17:43,Afternoon,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,FPPE-02,2520,Forest Plot Perimeter,G,Terrafirme,Diurnal
YRS,6/11/2025,6/11/2025,6/11/2025 15:06,6/11/2025 17:43,Afternoon,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,FPPE-02,2520,Forest Plot Perimeter,G,Terrafirme,Diurnal
TBS,6/21/2025,6/21/2025,6/21/2025 20:43,6/21/2025 23:53,Night,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,PARA-01,3522,Parahuaco,G,Varzea,Diurnal
TBS,6/23/2025,6/23/2025,6/23/2025 20:12,6/23/2025 23:04,Night,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,PUMA-01,750,Puma-Puma Plot,G,Terrafirme,Diurnal
YRS,7/5/2025,7/5/2025,7/5/2025 14:45,7/5/2025 16:12,Afternoon,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,YCHO-01,1230,Chorongo-Kinkajou-Napo-Tucan,G,Terrafirme,Diurnal
YRS,7/5/2025,7/5/2025,7/5/2025 20:26,7/5/2025 23:30,Night,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,PERU-05,301,Coca-Ceiba-Peru-Tiputini-Peru,G,Varzea,Diurnal
YRS,7/8/2025,7/8/2025,7/8/2025 20:18,7/8/2025 22:59,Night,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,NAPO-03,157,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,G,Terrafirme,Diurnal
YRS,7/14/2025,7/14/2025,7/14/2025 20:34,7/14/2025 22:56,Night,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,MIRA-01,550,Mirador,G,Varzea,Diurnal
YRS,7/14/2025,7/14/2025,7/14/2025 20:34,7/14/2025 22:56,Night,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,MIRA-01,550,Mirador,G,Varzea,Diurnal
YRS,7/15/2025,7/15/2025,7/15/2025 14:24,7/15/2025 16:16,Afternoon,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,NAPO-03,157,Napo-Tinamou-Botanico,G,Terrafirme,Diurnal
YRS,7/15/2025,7/15/2025,7/15/2025 14:24,7/15/2025 16:16,Afternoon,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,NAPO-01,135,Napo-Tinamou-Botanico,G,Terrafirme,Diurnal
YRS,7/6/2024,7/6/2024,7/6/2024 20:29,7/6/2024 23:28,Night,Frog,Pale-striped Poison Frog,Yes,Dendrobatidae,Ameerega,hahneli,FPPE-02,2520,Forest Plot Perimeter,U,Varzea,Diurnal
YRS,6/9/2025,6/9/2025,6/9/2025 20:15,6/9/2025 23:03,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,TINA-01,65,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,Varzea,Nocturnal
YRS,6/9/2025,6/9/2025,6/9/2025 20:15,6/9/2025 23:03,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,TINA-01,65,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,Varzea,Nocturnal
YRS,6/10/2025,6/10/2025,6/10/2025 20:07,6/10/2025 22:33,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,PERU-05,301,Ceiba-Peru,U,Varzea,Nocturnal
YRS,6/14/2025,6/14/2025,6/14/2025 20:04,6/14/2025 22:40,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,BOTA-03,250,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,U,Varzea,Nocturnal
YRS,6/18/2025,6/18/2025,6/18/2025 20:47,6/18/2025 22:56,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,MIRA-01,550,Mirador,U,Terrafirme,Nocturnal
TBS,6/25/2025,6/25/2025,6/25/2025 20:00,6/25/2025 22:22,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,HAPL-01,2220,Harpia Plot-Harpia,U,Varzea,Nocturnal
TBS,7/1/2025,7/1/2025,7/1/2025 20:48,7/1/2025 23:22,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,HAPL-01,2220,Harpia Plot-Harpia,U,Terrafirme,Nocturnal
TBS,6/23/2024,6/23/2024,6/23/2024 20:00,6/23/2024 22:36,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,MUPO-01,410,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,G,Varzea,Nocturnal
YRS,7/3/2024,7/3/2024,7/3/2024 20:11,7/3/2024 23:07,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,PERU-05,301,Ceiba-Peru,U,Varzea,Nocturnal
YRS,7/26/2024,7/26/2024,7/26/2024 20:02,7/26/2024 22:54,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,GAWA-03,692,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,U,Varzea,Nocturnal
YRS,8/1/2024,8/1/2024,8/1/2024 20:07,8/1/2024 22:19,Night,Frog,Basin Tree Frog,Yes,Hylidae,Boana,lanciformis,BOTA-03,250,Tinamou-Napo-Pantano-Botanico-Gran Ficus,U,Varzea,Nocturnal
YRS,6/10/2025,6/10/2025,6/10/2025 20:07,6/10/2025 22:33,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,CEIB-01,490,Ceiba-Peru,U,Terrafirme,Nocturnal
TBS,6/25/2025,6/25/2025,6/25/2025 20:00,6/25/2025 22:22,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,HAPL-01,2220,Harpia Plot-Harpia,U,Varzea,Nocturnal
TBS,6/25/2025,6/25/2025,6/25/2025 20:00,6/25/2025 22:22,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,HAPL-01,2220,Harpia Plot-Harpia,U,Varzea,Nocturnal
TBS,6/25/2025,6/25/2025,6/25/2025 20:00,6/25/2025 22:22,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,HAPL-01,2220,Harpia Plot-Harpia,U,Varzea,Nocturnal
YRS,7/4/2025,7/4/2025,7/4/2025 20:21,7/4/2025 23:39,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,FPPE-05,291,Forest Plot Perimeter,G,Varzea,Nocturnal
YRS,7/4/2025,7/4/2025,7/4/2025 20:21,7/4/2025 23:39,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,FPPE-05,291,Forest Plot Perimeter,U,Varzea,Nocturnal
YRS,7/5/2025,7/5/2025,7/5/2025 20:26,7/5/2025 23:30,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,CEIB-02,463,Coca-Ceiba-Peru-Tiputini-Peru,U,Terrafirme,Nocturnal
YRS,7/5/2025,7/5/2025,7/5/2025 20:26,7/5/2025 23:30,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,CEIB-02,463,Coca-Ceiba-Peru-Tiputini-Peru,U,Terrafirme,Nocturnal
YRS,7/13/2025,7/13/2025,7/13/2025 20:51,7/13/2025 22:41,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,NAPO-02,419,Botanico-Tinamou-Napo-Timatai-Bariso,U,Terrafirme,Nocturnal
YRS,7/16/2025,7/16/2025,7/16/2025 20:21,7/16/2025 22:24,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,CEIB-02,463,Coca-Ceiba-Peru-Renacuajo-Mirador,U,Terrafirme,Nocturnal
YRS,6/29/2024,6/29/2024,6/29/2024 20:04,6/29/2024 23:19,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,GAWA-02,650,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,U,Varzea,Nocturnal
YRS,6/29/2024,6/29/2024,6/29/2024 20:04,6/29/2024 23:19,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,GAWA-02,650,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,U,Varzea,Nocturnal
YRS,7/2/2024,7/2/2024,7/2/2024 20:00,7/2/2024 23:11,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,FPPE-02,2520,Forest Plot Perimeter,U,Terrafirme,Nocturnal
YRS,7/3/2024,7/3/2024,7/3/2024 20:11,7/3/2024 23:07,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,PERU-01,250,Ceiba-Peru,U,Terrafirme,Nocturnal
YRS,7/3/2024,7/3/2024,7/3/2024 20:11,7/3/2024 23:07,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,PERU-05,301,Ceiba-Peru,U,Terrafirme,Nocturnal
YRS,7/6/2024,7/6/2024,7/6/2024 20:29,7/6/2024 23:28,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,FPPE-02,2520,Forest Plot Perimeter,U,Varzea,Nocturnal
YRS,7/6/2024,7/6/2024,7/6/2024 20:29,7/6/2024 23:28,Night,Frog,Canelos Treefrog,Yes,Hylidae,Boana,appendiculata,FPPE-02,2520,Forest Plot Perimeter,U,Terrafirme,Nocturnal
